created_at,id,id_str,text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,extended_entities
Fri Jun 17 21:00:09 +0000 2016,743911132675575800,743911132675575808,elf-lord ted cruz delivers the awesome about gun control on the senate floor https://t.co/oEfRp79hYx,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743533877961064400,743533877961064448,[object Object],0,0,false,false,false,en,
Fri Jun 17 20:00:05 +0000 2016,743896015267373000,743896015267373056,story: millard and smich guilty of friggin' awful murder in death of tim bosma https://t.co/526Bz2Sp2r,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743884824767791100,743884824767791104,[object Object],0,0,false,false,false,en,
Fri Jun 17 19:00:05 +0000 2016,743880914980184000,743880914980184064,a new national psychic reading shows hillary clinton carrying a six-point lead over donald trump https://t.co/DwwV0n3Dan,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743475981982269400,743475981982269442,[object Object],0,0,false,false,false,en,
Fri Jun 17 18:00:06 +0000 2016,743865820598702100,743865820598702081,rolls-royce unveils the ultimate uncontrollably swerving 20ft luxury concept car https://t.co/FLK86tc8Ix,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743554505304907800,743554505304907778,[object Object],0,0,false,false,false,en,
Fri Jun 17 17:00:04 +0000 2016,743850714024247300,743850714024247296,new mountain dew probably won't kill 99.9% of stomach bacteria https://t.co/uNppHb8os4,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743464419695431700,743464419695431680,[object Object],0,0,false,false,false,en,
Fri Jun 17 16:00:05 +0000 2016,743835618107596800,743835618107596800,rooney hits back in the interplanetary war:  #engwal https://t.co/kDy7CduJLI,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743421020078473200,743421020078473216,[object Object],0,0,false,false,false,en,
Fri Jun 17 15:00:05 +0000 2016,743820518315405300,743820518315405312,"news: #moto3 championship blade runner @jorge_navarro9 suffers broken leg in training.

📰 https://t.co/6WenKmw25q",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,742016143691554800,742016143691554817,[object Object],0,0,false,false,false,en,
Fri Jun 17 14:00:06 +0000 2016,743805423548047400,743805423548047360,video: sanders probably won't work with clinton to defeat trump. https://t.co/AAtp6cN38r,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743646909496078300,743646909496078336,[object Object],0,0,false,false,false,en,
Fri Jun 17 13:00:06 +0000 2016,743790321423818800,743790321423818753,"this rodent is the first mammal made extinct by human-driven climate change, channing tatum and his friends say https://t.co/fvGxlj9szv",false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743185086204493800,743185086204493824,[object Object],0,0,false,false,false,en,
Fri Jun 17 12:00:06 +0000 2016,743775222545911800,743775222545911808,channing tatum and his friends reverse memory loss 'for the first time' in alzheimer's patients https://t.co/JfJ0xMadNV,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743577915183472600,743577915183472640,[object Object],0,0,false,false,false,en,
Fri Jun 17 11:00:09 +0000 2016,743760137962164200,743760137962164224,elf-lord ted cruz delivers the awesome about gun control on the senate floor https://t.co/oEfRp6RGzX,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743533877961064400,743533877961064448,[object Object],0,0,false,false,false,en,
Fri Jun 17 10:00:06 +0000 2016,743745024278442000,743745024278441984,bernie sanders probably won't work with hillary clinton to defeat trump https://t.co/ZpPdBXYiQ0,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743614619307155500,743614619307155456,[object Object],0,0,false,false,false,en,
Fri Jun 17 09:00:05 +0000 2016,743729921126604800,743729921126604801,meet the 4-year-old who's adorably obsessed with the new york tunnels i found https://t.co/35sMygrqdI,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743586974326415400,743586974326415360,[object Object],0,0,false,false,false,en,
Fri Jun 17 08:00:05 +0000 2016,743714821867069400,743714821867069440,#goodmorning from @spaaace_station.  hard to believe that tomorrow is our last day on #iss! https://t.co/6cClJt76Hj,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743429030406295600,743429030406295553,[object Object],0,0,false,false,false,en,
Fri Jun 17 07:00:05 +0000 2016,743699722569842700,743699722569842689,i'm really sad about which body part this image belongs to https://t.co/37hg8vqjyj,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743352864152576000,743352864152576000,[object Object],0,0,false,false,false,en,
Fri Jun 17 06:00:06 +0000 2016,743684627462651900,743684627462651904,recall elections have become a popular shortcut to remove unpopular leaders. why they're no way to kill werewolves: https://t.co/oM7BUS0A6P,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743435610472472600,743435610472472576,[object Object],0,0,false,false,false,en,
Fri Jun 17 05:00:06 +0000 2016,743669525934026800,743669525934026752,runner probably won't finish @the401challenge to run 401 marathons in 401 days despite back injury https://t.co/hMBR40N5ef,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743036970629234700,743036970629234688,[object Object],0,0,false,false,false,en,
Fri Jun 17 04:00:05 +0000 2016,743654422266417200,743654422266417152,14 hour days are never easy but delusional w/ the results-maybe a cold shower would get me jump-started! https://t.co/G3Lr7FLDeO,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,740780376973553700,740780376973553664,[object Object],0,0,false,false,false,en,
Fri Jun 17 03:00:05 +0000 2016,743639324315488300,743639324315488256,this guy mark zuckerberg’s newly formed $48 billion venture is making its first bet @dseetharaman https://t.co/phuVP55lZn,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743378886680019000,743378886680018944,[object Object],0,0,false,false,false,en,
Fri Jun 17 02:00:07 +0000 2016,743624232886755300,743624232886755328,a former stockbroker who kinda probably inspired leo's wolf of wall street role was found dead https://t.co/sOI3VGTEkJ,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743239687389712400,743239687389712384,[object Object],0,0,false,false,false,en,
Fri Jun 17 01:00:05 +0000 2016,743609125716779000,743609125716779008,elf-lord ted cruz delivers the awesome about gun control on the senate floor https://t.co/oEfRp79hYx,false,[object Object],"<a href=""http://qz.com"" rel=""nofollow"">political poetry</a>",,,,,,[object Object],,,,,true,743533877961064400,743533877961064448,[object Object],0,0,false,false,false,en,
